code1,code2,similar
"#include <bits/stdc++.h>
using namespace std;
long long fact(long long n){ return (n<=1)?1:n*fact(n-1); }
int main(){ long long n; if(!(cin>>n)) return 0; cout<<fact(n)<<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; if(!(cin>>n)) return 0; long long f=1; for(long long i=2;i<=n;i++) f*=i; cout<<f<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; if(!(cin>>n)) return 0; cout<< n*(n+1)/2 <<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; if(!(cin>>n)) return 0; long long s=0; for(long long i=1;i<=n;i++) s+=i; cout<<s<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ long long a,b; if(!(cin>>a>>b)) return 0; cout<<std::gcd(a,b)<<""
""; }","#include <bits/stdc++.h>
using namespace std;
long long gcdll(long long a,long long b){ while(b){ long long r=a%b; a=b; b=r; } return a; }
int main(){ long long a,b; if(!(cin>>a>>b)) return 0; cout<<gcdll(a,b)<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n,t; cin>>n>>t; vector<int>a(n); for(int&i:a)cin>>i; unordered_set<int> seen;
for(int x:a){ if(seen.count(t-x)){ cout<<""Yes
""; return 0;} seen.insert(x);} cout<<""No
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n,t; cin>>n>>t; vector<int>a(n); for(int&i:a)cin>>i; sort(a.begin(),a.end()); int i=0,j=n-1;
while(i<j){ long long s=1LL*a[i]+a[j]; if(s==t){ cout<<""Yes
""; return 0;} (s<t)?++i:--j;} cout<<""No
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; if(!(cin>>s)) return 0; string t=s; reverse(t.begin(),t.end()); cout<<(t==s?""Yes"":""No"")<<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; if(!(cin>>s)) return 0; int i=0,j=(int)s.size()-1; while(i<j){ if(s[i++]!=s[j--]) { cout<<""No
""; return 0; } } cout<<""Yes
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string a,b; getline(cin,a); getline(cin,b);
auto norm=[](string x){ string t; for(char c:x) if(isalpha((unsigned char)c)) t.push_back(tolower(c)); sort(t.begin(),t.end()); return t; };
cout<< (norm(a)==norm(b)?""Yes"":""No"") <<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string a,b; getline(cin,a); getline(cin,b); int cnt[256]={0};
for(char c:a) if(isalpha((unsigned char)c)) cnt[(unsigned char)tolower(c)]++;
for(char c:b) if(isalpha((unsigned char)c)) cnt[(unsigned char)tolower(c)]--;
for(int i=0;i<256;i++) if(cnt[i]){ cout<<""No
""; return 0; } cout<<""Yes
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; unordered_set<int>s; for(int i=0,x;i<n;i++){cin>>x;s.insert(x);} cout<<s.size()<<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; sort(a.begin(),a.end()); a.erase(unique(a.begin(),a.end()),a.end()); cout<<a.size()<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
pair<long long,long long> fib(long long n){ if(n==0) return {0,1}; auto p=fib(n>>1);
long long a=p.first*(2*p.second-p.first), b=p.first*p.first+p.second*p.second;
return (n&1)? make_pair(b,a+b): make_pair(a,b); }
int main(){ long long n; cin>>n; cout<<fib(n).first<<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; cin>>n; long long a=0,b=1; for(long long i=0;i<n;i++){ long long c=a+b; a=b; b=c; } cout<<a<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
long long fpow(long long a,long long e){ long long r=1; while(e){ if(e&1) r*=a; a*=a; e>>=1; } return r; }
int main(){ long long a,e; cin>>a>>e; cout<<fpow(a,e)<<""
""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ long long a,e; cin>>a>>e; long long r=1; for(long long i=0;i<e;i++) r*=a; cout<<r<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s,t; cin>>s>>t; cout<< (s.size()==t.size() && (s+s).find(t)!=string::npos ? ""Yes"":""No"") <<""
""; }","#include <bits/stdc++.h>
using namespace std;
bool isRot(string s,string t){
  if(s.size()!=t.size()) return false;
  for(size_t k=0;k<s.size();++k){
    bool ok=true;
    for(size_t i=0;i<s.size();++i) if(s[(i+k)%s.size()]!=t[i]){ ok=false; break; }
    if(ok) return true;
  } return false;
}
int main(){ string s,t; cin>>s>>t; cout<<(isRot(s,t)?""Yes"":""No"")<<""
""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; stable_sort(a.begin(),a.end()); for(int i=0;i<n;i++){ if(i) cout<<"" ""; cout<<a[i]; } cout<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; multiset<int> s; for(int i=0,x;i<n;i++){cin>>x; s.insert(x);} bool f=true; for(int x:s){ if(!f) cout<<"" ""; f=false; cout<<x; } cout<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; cout<<(equal(s.begin(),s.begin()+s.size()/2, s.rbegin())?""Yes"":""No"")<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; int i=0,j=(int)s.size()-1; while(i<j && s[i]==s[j]){ ++i; --j; } cout<<(i>=j?""Yes"":""No"")<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; nth_element(a.begin(), a.begin()+n/2, a.end()); cout<<a[n/2]<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; sort(a.begin(),a.end()); cout<<a[n/2]<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; getline(cin,s); if(s.empty()) getline(cin,s); transform(s.begin(),s.end(),s.begin(),::tolower); cout<<s<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; getline(cin,s); if(s.empty()) getline(cin,s); for(char &c:s) c=tolower((unsigned char)c); cout<<s<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; cin>>n; cout<<( (n%400==0) || (n%4==0 && n%100!=0) ? ""Yes"":""No"")<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ long long n; cin>>n; bool leap=false; if(n%4==0){ leap=true; if(n%100==0 && n%400!=0) leap=false; } cout<<(leap?""Yes"":""No"")<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; cout<<count(s.begin(),s.end(),'a')<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; int c=0; for(char ch:s) if(ch=='a') ++c; cout<<c<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; cout<<accumulate(a.begin(),a.end(),0LL)<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; long long s=0; for(int i=0,x;i<n;i++){cin>>x; s+=x;} cout<<s<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; string t=s; sort(t.begin(),t.end()); t.erase(unique(t.begin(),t.end()),t.end()); cout<<t.size()<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; unordered_set<char> st(s.begin(),s.end()); cout<<st.size()<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n,k; cin>>n>>k; vector<int>a(n); for(int&i:a)cin>>i; rotate(a.begin(), a.begin()+(k%n), a.end()); for(int i=0;i<n;i++){ if(i) cout<<"" ""; cout<<a[i]; } cout<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n,k; cin>>n>>k; vector<int>a(n),b(n); for(int&i:a)cin>>i; k%=n; for(int i=0;i<n;i++) b[(i+n-(k%n))%n]=a[i]; for(int i=0;i<n;i++){ if(i) cout<<"" ""; cout<<b[i]; } cout<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; getline(cin,s); if(s.empty()) getline(cin,s); string t=s; reverse(t.begin(),t.end()); cout<<(s==t?""Yes"":""No"")<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; getline(cin,s); if(s.empty()) getline(cin,s); int i=0,j=(int)s.size()-1; while(i<j && s[i]==s[j]){ ++i; --j; } cout<<(i>=j?""Yes"":""No"")<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; stable_sort(a.begin(),a.end()); for(int i=0;i<n;i++){ if(i) cout<<"" ""; cout<<a[i]; } cout<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; multiset<int> s; for(int i=0,x;i<n;i++){cin>>x; s.insert(x);} bool f=true; for(int x:s){ if(!f) cout<<"" ""; f=false; cout<<x; } cout<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; cout<<(equal(s.begin(),s.begin()+s.size()/2, s.rbegin())?""Yes"":""No"")<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ string s; cin>>s; int i=0,j=(int)s.size()-1; while(i<j && s[i]==s[j]){ ++i; --j; } cout<<(i>=j?""Yes"":""No"")<<""\n""; }",0
"#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; nth_element(a.begin(), a.begin()+n/2, a.end()); cout<<a[n/2]<<""\n""; }","#include <bits/stdc++.h>
using namespace std;
int main(){ int n; cin>>n; vector<int>a(n); for(int&i:a)cin>>i; sort(a.begin(),a.end()); cout<<a[n/2]<<""\n""; }",0
