"#include<bits/stdc++.h>
using namespace std;
#define int long long
signed main(){
  int N;
  string S;
  cin>>N>>S;
  int cnt1=0,cnt2=0;
  for(int i=0;i<N;i++){
    if(S[i]==')'){
      if(cnt1==0)
        cnt2++;
      else
        cnt1--;
    }else
      cnt1++;
  }
  for(int i=0;i<cnt2;i++)
    cout<<'(';
  cout<<S;
  for(int i=0;i<cnt1;i++)
    cout<<')';
  cout<<endl;
}","#include<bits/stdc++.h>
#include<cctype>
using namespace std;
#define rep(i,n) for (int i=0;i<(n);i++)
#define all(v) (v).begin(),(v).end()
typedef long long int ll;
#define pi 3.1415926535897932384
#define E9 1000000000
#define eps 1e-4
#define pii pair<int,int>


int main(){
  int N; cin >> N;
  string S, T; cin >> S;
  T = S;
  while (1){
    int n = T.size();
    if (n==0) break;

    bool check = true;
    rep(i,n-1){
      if (T.substr(i,2)==""()""){
        T.erase(i,2);
        check = false;
        break;
      }
    }
    if (check) break;
  }
  int l=0, r=0;
  rep(i,T.size()) {
    if (T[i]=='(') r++;
    else l++;
  }
  cout << string(l,'(') << S << string(r,')') << endl;



  // cout << fixed << setprecision(10);
  
  return 0;
}",0
"#include<bits/stdc++.h>
using namespace std;
#define ll long long
int ans=1e9+7;
int A,B,C,l[15],n;
void dfs(int i,int a,int b,int c,int m)
{
	if(i==n+1){
      	if(!a||!b||!c) return ; 
	    else
	       {
	  	       ans=min(ans,abs(A-a)+abs(B-b)+abs(C-c)+m);
			   return;
	       }
		}
	 dfs(i+1,a+l[i],b,c,m+(a==0?0:10));
	 dfs(i+1,a,b+l[i],c,m+(b==0?0:10));
	 dfs(i+1,a,b,c+l[i],m+(c==0?0:10));
	 dfs(i+1,a,b,c,m);
}
int main()
{
   cin>>n>>A>>B>>C;
   for(int i=1;i<=n;i++) cin>>l[i];
   dfs(1,0,0,0,0);
   cout<<ans;


return 0;
}
","#include <iostream>
#include<vector>
#include<algorithm>
#include<string>
#include<map>
#include<set>
#include<stack>
#include<queue>
#include<math.h>
using namespace std;
typedef long long ll;
#define int long long
typedef vector<int> VI;
typedef pair<int, int> pii;
typedef vector<pii> VP;
